date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:20	121/121	---MCZ	200	added ('OK')	text/plain	etag:W/%2261c0d449-7c%22	https://www.cambiumnetworks.com/robots.txt		(from )
11:19:21	162983/162983	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:20%20GMT	https://www.cambiumnetworks.com/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/index.html	(from )
11:19:21	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2010%20Mar%202022%2017:19:21%20GMT	https://www.cambiumnetworks.com/xmlrpc.php	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/xmlrpc.php	(from https://www.cambiumnetworks.com/)
11:19:22	655/655	---MCZ	200	added ('OK')	text/css	etag:W/%22621e77bd-28f%22	https://www.cambiumnetworks.com/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min.css?ver=5.12.1	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.mindc88.css	(from https://www.cambiumnetworks.com/)
11:19:25	83369/83369	---MCZ	200	added ('OK')	text/css	etag:W/%22621e7508-145a9%22	https://www.cambiumnetworks.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.1	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-includes/css/dist/block-library/style.min74e5.css	(from https://www.cambiumnetworks.com/)
11:19:25	759/759	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227e203b44297c6c5df58d4956982dd0f1-gzip%22	https://www.cambiumnetworks.com/comments/feed/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/comments/feed/index.html	(from https://www.cambiumnetworks.com/)
11:19:25	22222/22222	---MCZ	200	added ('OK')	text/calendar	date:Thu,%2010%20Mar%202022%2017:19:24%20GMT	https://www.cambiumnetworks.com/events/?ical=1	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/events/indexedf3.html	(from https://www.cambiumnetworks.com/)
11:19:26	208794/208794	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%229b8a3888d9ba037e38263459b57ae38e-gzip%22	https://www.cambiumnetworks.com/feed/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/feed/index.html	(from https://www.cambiumnetworks.com/)
11:19:26	374/374	---MCZ	200	added ('OK')	text/css	etag:W/%2261c0d608-176%22	https://www.cambiumnetworks.com/wp-content/plugins/wp-pagenavi/pagenavi-css.css?ver=2.70	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/plugins/wp-pagenavi/pagenavi-css44fd.css	(from https://www.cambiumnetworks.com/)
11:19:28	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%2261c0d44c-e688%22	https://www.cambiumnetworks.com/wp-includes/css/dashicons.min.css?ver=5.9.1	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-includes/css/dashicons.min74e5.css	(from https://www.cambiumnetworks.com/)
11:19:28	319883/319883	---MCZ	200	added ('OK')	text/css	etag:W/%226228da0f-4e18b%22	https://www.cambiumnetworks.com/wp-content/themes/cambium-networks/style.min.css?ver=1646844431	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/themes/cambium-networks/style.min8f80.css	(from https://www.cambiumnetworks.com/)
11:19:30	2744/2744	---MCZ	200	added ('OK')	application/json	date:Thu,%2010%20Mar%202022%2017:19:29%20GMT	https://www.cambiumnetworks.com/wp-json/wp/v2/pages/141	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-json/wp/v2/pages/141.json	(from https://www.cambiumnetworks.com/)
11:19:30	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2010%20Mar%202022%2017:19:30%20GMT	https://www.cambiumnetworks.com/xmlrpc.php?rsd	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/xmlrpc0db0.php	(from https://www.cambiumnetworks.com/)
11:19:31	563112/563112	---MCZ	200	added ('OK')	application/json	date:Thu,%2010%20Mar%202022%2017:19:31%20GMT	https://www.cambiumnetworks.com/wp-json/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-json/index.html	(from https://www.cambiumnetworks.com/)
11:19:32	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2261c0d44a-415%22	https://www.cambiumnetworks.com/wp-includes/wlwmanifest.xml	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-includes/wlwmanifest.xml	(from https://www.cambiumnetworks.com/)
11:19:33	2504/2504	---MCZ	200	added ('OK')	application/json	date:Thu,%2010%20Mar%202022%2017:19:33%20GMT	https://www.cambiumnetworks.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.cambiumnetworks.com%2F	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-json/oembed/1.0/embed1d1b.json	(from https://www.cambiumnetworks.com/)
11:19:34	2585/2585	---MCZ	200	added ('OK')	text/xml	date:Thu,%2010%20Mar%202022%2017:19:34%20GMT	https://www.cambiumnetworks.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.cambiumnetworks.com%2F&format=xml	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-json/oembed/1.0/embed157d	(from https://www.cambiumnetworks.com/)
11:19:34	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c0d44b-15db1%22	https://www.cambiumnetworks.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://www.cambiumnetworks.com/)
11:19:36	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c0d44b-2bd8%22	https://www.cambiumnetworks.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.cambiumnetworks.com/)
11:19:36	1892/1892	---M--	200	added ('OK')	image/png	etag:%2261c0d485-922%22	https://www.cambiumnetworks.com/wp-content/uploads/2021/03/cropped-Cambium_Networks_favicon-32x32.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/2021/03/cropped-Cambium_Networks_favicon-32x32.png	(from https://www.cambiumnetworks.com/)
11:19:37	32697/32697	---MCZ	200	added ('OK')	application/json	date:Thu,%2010%20Mar%202022%2017:19:37%20GMT	https://www.cambiumnetworks.com/wp-json/tribe/events/v1/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-json/tribe/events/v1/index.html	(from https://www.cambiumnetworks.com/)
11:19:38	14296/14296	---M--	200	added ('OK')	image/png	etag:%2261c0d486-49ef%22	https://www.cambiumnetworks.com/wp-content/uploads/2021/03/cropped-Cambium_Networks_favicon-192x192.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/2021/03/cropped-Cambium_Networks_favicon-192x192.png	(from https://www.cambiumnetworks.com/)
11:19:38	13140/13140	---M--	200	added ('OK')	image/png	etag:%2261c0d486-43e5%22	https://www.cambiumnetworks.com/wp-content/uploads/2021/03/cropped-Cambium_Networks_favicon-180x180.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/2021/03/cropped-Cambium_Networks_favicon-180x180.png	(from https://www.cambiumnetworks.com/)
11:19:39	16465/16465	---MCZ	200	added ('OK')	application/javascript	etag:W/%226087021a-4051%22	https://www.cambiumnetworks.com/wp-content/themes/cambium-networks/assets/scripts/scrollreveal.min.js	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/themes/cambium-networks/assets/scripts/scrollreveal.min.js	(from https://www.cambiumnetworks.com/)
11:19:41	192669/192669	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:41%20GMT	https://www.cambiumnetworks.com/get-quote-demo/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/get-quote-demo/index.html	(from https://www.cambiumnetworks.com/)
11:19:41	147499/147499	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:41%20GMT	https://www.cambiumnetworks.com/solutions/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/index.html	(from https://www.cambiumnetworks.com/)
11:19:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Mar%202022%2017:19:41%20GMT	https://www.cambiumnetworks.com/solutions/cctv-backhaul	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/cctv-backhaul	(from https://www.cambiumnetworks.com/)
11:19:42	979/979	---MCZ	200	added ('OK')	text/html	etag:W/%2261d5ccaf-3d3%22	https://cloud.cambiumnetworks.com/	/Users/anirbanbanerjee/websites/cn/cloud.cambiumnetworks.com/index.html	(from https://www.cambiumnetworks.com/)
11:19:42	156155/156155	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:42%20GMT	https://www.cambiumnetworks.com/solutions/cctv-backhaul/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/cctv-backhaul/index.html	(from https://www.cambiumnetworks.com/)
11:19:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Mar%202022%2017:19:42%20GMT	https://www.cambiumnetworks.com/solutions/hybrid-networks	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/hybrid-networks	(from https://www.cambiumnetworks.com/)
11:19:43	159577/159577	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:43%20GMT	https://www.cambiumnetworks.com/solutions/enterprise-networking/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/enterprise-networking/index.html	(from https://www.cambiumnetworks.com/)
11:19:43	162482/162482	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:43%20GMT	https://www.cambiumnetworks.com/solutions/fixed-wireless-broadband/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/fixed-wireless-broadband/index.html	(from https://www.cambiumnetworks.com/)
11:19:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Mar%202022%2017:19:43%20GMT	https://www.cambiumnetworks.com/wifi	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wifi.13.delayed	(from https://www.cambiumnetworks.com/)
11:19:44	156636/156636	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:44%20GMT	https://www.cambiumnetworks.com/solutions/small-cell-backhaul/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/small-cell-backhaul/index.html	(from https://www.cambiumnetworks.com/)
11:19:44	155931/155931	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:44%20GMT	https://www.cambiumnetworks.com/solutions/outdoor-wireless-for-private-networks/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/outdoor-wireless-for-private-networks/index.html	(from https://www.cambiumnetworks.com/)
11:19:44	149655/149655	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:44%20GMT	https://www.cambiumnetworks.com/markets/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/index.html	(from https://www.cambiumnetworks.com/)
11:19:45	154455/154455	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:45%20GMT	https://www.cambiumnetworks.com/markets/federal-defense/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/federal-defense/index.html	(from https://www.cambiumnetworks.com/)
11:19:45	159481/159481	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:45%20GMT	https://www.cambiumnetworks.com/solutions/hybrid-networks/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/solutions/hybrid-networks/index.html	(from https://www.cambiumnetworks.com/)
11:19:45	4728/4728	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:45%20GMT	https://support.cambiumnetworks.com/login?camefrom=https%3A%2F%2Fsupport.cambiumnetworks.com%2Ffiles	/Users/anirbanbanerjee/websites/cn/support.cambiumnetworks.com/login722d.html	(from https://www.cambiumnetworks.com/)
11:19:46	157154/157154	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/healthcare/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/healthcare/index.html	(from https://www.cambiumnetworks.com/)
11:19:49	156441/156441	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/hospitality/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/hospitality/index.html	(from https://www.cambiumnetworks.com/)
11:19:49	157086/157086	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/higher-education/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/higher-education/index.html	(from https://www.cambiumnetworks.com/)
11:19:50	154804/154804	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:47%20GMT	https://www.cambiumnetworks.com/markets/mining-and-minerals/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/mining-and-minerals/index.html	(from https://www.cambiumnetworks.com/)
11:19:50	57135/57135	---M--	200	added ('OK')	image/jpeg	etag:%2261c0d44e-f598%22	https://www.cambiumnetworks.com/wp-content/uploads/home-wireless-works-logo.jpg	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/home-wireless-works-logo.jpg	(from https://www.cambiumnetworks.com/)
11:19:50	978277/978277	---M--	200	added ('OK')	image/png	etag:%2261c0d44f-f1648%22	https://www.cambiumnetworks.com/wp-content/uploads/cn-home-page-circle-collage.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/cn-home-page-circle-collage.png	(from https://www.cambiumnetworks.com/)
11:19:51	5384/5384	---M--	200	added ('OK')	image/png	etag:%2261c0d44f-1e4a%22	https://www.cambiumnetworks.com/wp-content/uploads/logo-pentanet-stacked.png	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/wp-content/uploads/logo-pentanet-stacked.png	(from https://www.cambiumnetworks.com/)
11:19:52	154155/154155	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2017:19:51%20GMT	https://www.cambiumnetworks.com/markets/multiple-dwelling-units/	/Users/anirbanbanerjee/websites/cn/www.cambiumnetworks.com/markets/multiple-dwelling-units/index.html	(from https://www.cambiumnetworks.com/)
